17:32:18.422020 config: drop-rate=0.00, max-delay=0s, seed=1649453538421870813
17:32:18.422378 router is listening at :3000
17:57:49.186868 [queue=0] packet #1, 127.0.0.1:36237 -> 127.0.0.1:3002, sz=0 is delivered
17:58:16.008138 [queue=0] packet #1, 127.0.0.1:38369 -> 127.0.0.1:3002, sz=0 is delivered
17:58:38.037743 [queue=0] packet #1, 127.0.0.1:46990 -> 127.0.0.1:3002, sz=0 is delivered
17:58:55.610584 [queue=0] packet #1, 127.0.0.1:39909 -> 127.0.0.1:3002, sz=0 is delivered
17:59:03.407271 [queue=0] packet #1, 127.0.0.1:54972 -> 127.0.0.1:3002, sz=0 is delivered
17:59:43.053012 [queue=0] packet #1, 127.0.0.1:55965 -> 127.0.0.1:3002, sz=0 is delivered
18:01:38.643546 [queue=0] packet #1, 127.0.0.1:47286 -> 127.0.0.1:3002, sz=0 is delivered
18:04:03.213717 [queue=0] packet #1, 127.0.0.1:43889 -> 127.0.0.1:3002, sz=0 is delivered
18:04:16.579185 [queue=0] packet #1, 127.0.0.1:51017 -> 127.0.0.1:3002, sz=0 is delivered
18:04:42.555334 [queue=0] packet #1, 127.0.0.1:59618 -> 127.0.0.1:3002, sz=0 is delivered
18:04:42.556849 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:3000, sz=0 is delivered
18:04:42.556882 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:3002, sz=0 is delivered
18:06:04.188285 [queue=0] packet #1, 127.0.0.1:44630 -> 127.0.0.1:3002, sz=0 is delivered
18:06:17.719274 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:3000, sz=0 is delivered
18:06:17.720045 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:3002, sz=0 is delivered
18:06:41.929213 [queue=0] packet #1, 127.0.0.1:43622 -> 127.0.0.1:3002, sz=0 is delivered
18:06:41.930358 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:3000, sz=0 is delivered
18:06:41.930380 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:3002, sz=0 is delivered
18:07:16.371310 [queue=0] packet #1, 127.0.0.1:33889 -> 127.0.0.1:3002, sz=0 is delivered
18:07:16.372860 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:3000, sz=0 is delivered
18:07:16.372899 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:3002, sz=0 is delivered
18:07:44.413419 [queue=0] packet #1, 127.0.0.1:44778 -> 127.0.0.1:3002, sz=0 is delivered
18:07:44.415220 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:3000, sz=0 is delivered
18:07:44.415253 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:3002, sz=0 is delivered
18:08:25.186984 [queue=0] packet #1, 127.0.0.1:60311 -> 127.0.0.1:3002, sz=0 is delivered
18:08:25.188519 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:3000, sz=0 is delivered
18:08:25.188558 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:3002, sz=0 is delivered
18:08:55.324162 [queue=0] packet #1, 127.0.0.1:42061 -> 127.0.0.1:3002, sz=0 is delivered
18:08:55.325383 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:3000, sz=0 is delivered
18:08:55.325410 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:3002, sz=0 is delivered
18:09:17.168291 [queue=0] packet #1, 127.0.0.1:47855 -> 127.0.0.1:3002, sz=0 is delivered
18:09:17.169466 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:3000, sz=0 is delivered
18:09:17.169495 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:3002, sz=0 is delivered
18:10:46.324785 [queue=0] packet #1, 127.0.0.1:45007 -> 127.0.0.1:3002, sz=0 is delivered
18:10:46.326321 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:3000, sz=0 is delivered
18:10:46.326351 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:3002, sz=0 is delivered
18:14:04.909118 [queue=0] packet #1, 127.0.0.1:47318 -> 127.0.0.1:3002, sz=0 is delivered
18:14:04.910413 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:47318, sz=0 is delivered
18:14:04.910518 [queue=0] packet #2, 127.0.0.1:47318 -> 127.0.0.1:3002, sz=0 is delivered
18:14:14.835668 config: drop-rate=0.00, max-delay=0s, seed=1649456054835584567
18:14:14.835798 router is listening at :3000
18:14:22.717353 [queue=0] packet #1, 127.0.0.1:40440 -> 127.0.0.1:3002, sz=0 is delivered
18:14:22.718800 [queue=0] packet #1, 127.0.0.1:3002 -> 127.0.0.1:40440, sz=0 is delivered
18:14:22.718910 [queue=0] packet #2, 127.0.0.1:40440 -> 127.0.0.1:3002, sz=0 is delivered
